,MSE,MAE,R²
RF Baseline,4791854.913534328,52.48240965699631,0.3717528907398766
RF Optimized,4744847.107921179,52.420259835157445,0.37791595671787803
XGB Baseline,4629334.0,65.47801208496094,0.3930606245994568
XGB Optimized,4628604.5,61.757266998291016,0.3931562900543213
